Financial Instrument,Coupon,Maturity,Ratings,Issuer Debt/Equity,Issue Date,Time-To-Maturity (TTM),Payment Frequency,Ask,Ask Yield,Duration %  ,Convexity,Bid,
US-T GOVT Note 91282CKE0,4.25,Mar15'27,AAA (MOODY),,Mar 15 '24,2.64,Semi-Annual,99.85547,4.307,,,99.85156,
US-T GOVT Note 91282CEC1,1.875,Feb28'27,AAA (MOODY),,Feb 28 '22,2.60,Semi-Annual,94.02735,4.325,,,94.00900,
US-T GOVT Note 912828ZB9,1.125,Feb28'27,AAA (MOODY),,Mar 02 '20,2.60,Semi-Annual,92.21875,4.317,,,92.18700,
US-T GOVT Note 91282CKA8,4.125,Feb15'27,AAA (MOODY),,Feb 15 '24,2.57,Semi-Annual,99.47657,4.3420000000000005,,,99.47656,
US-T GOVT Note 912828V98,2.25,Feb15'27,AAA (MOODY),,Feb 15 '17,2.57,Semi-Annual,95.01563,4.327,,,94.99200,
US-T GOVT Note STRIPS Principal 9128206P7,,Feb15'27,,,Feb 15 '17,2.57,,89.79900,4.2465,,,89.46400,
US-T GOVT  STRIPS Principal 912803BK8,,Feb15'27,,,Feb 18 '97,2.57,,90.21400,4.063000000000001,,,90.03300,
US-T GOVT 912810EZ7,6.625,Feb15'27,AAA (MOODY),,Feb 18 '97,2.57,Semi-Annual,106.20313,4.049,,,105.81300,
US-T GOVT Note STRIPS Interest 912834VL9,,Jan31'27,,,Jan 31 '20,2.52,,89.47700,4.4625,,,89.47600,
US-T GOVT Note 912828Z78,1.5,Jan31'27,AAA (MOODY),,Jan 31 '20,2.52,Semi-Annual,93.28907,4.341,,,93.27300,
US-T GOVT Note STRIPS Principal 912821DT9,,Jan31'27,,,Jan 31 '20,2.52,,89.73100,4.3475,,,89.64300,
US-T GOVT Note 91282CJT9,4.0,Jan15'27,AAA (MOODY),,Jan 16 '24,2.48,Semi-Annual,99.15723,4.364,,,99.15722,
US-T GOVT Note TIPS 912828V49,0.375,Jan15'27,AAA (MOODY),,Jan 31 '17,2.48,Semi-Annual,95.39454,2.299,,,95.35500,
US-T GOVT  TIPS 912810PS1,2.375,Jan15'27,AAA (MOODY),,Jan 31 '07,2.48,Semi-Annual,100.17188,2.303,,,100.12800,
US-T GOVT Note 91282CDQ1,1.25,Dec31'26,AAA (MOODY),,Dec 31 '21,2.44,Semi-Annual,92.94141,4.336,,,92.93100,
US-T GOVT Note 912828YX2,1.75,Dec31'26,AAA (MOODY),,Dec 31 '19,2.44,Semi-Annual,94.05079,4.351,,,94.03100,
US-T GOVT Note 91282CJP7,4.375,Dec15'26,AAA (MOODY),,Dec 15 '23,2.40,Semi-Annual,100.01368,4.368,,,100.01366,
US-T GOVT Note 91282CDK4,1.25,Nov30'26,AAA (MOODY),,Nov 30 '21,2.35,Semi-Annual,93.08399,4.375,,,93.06400,
US-T GOVT Note 912828YU8,1.625,Nov30'26,AAA (MOODY),,Dec 02 '19,2.35,Semi-Annual,93.88672,4.388,,,93.86700,
US-T GOVT Note 91282CJK8,4.625,Nov15'26,AAA (MOODY),,Nov 15 '23,2.31,Semi-Annual,100.51172,4.3870000000000005,,,100.50391,
US-T GOVT Note STRIPS Principal 9128205Y9,,Nov15'26,,,Nov 15 '16,2.31,,90.61100,4.3145,,,90.30400,
US-T GOVT Note 912828U24,2.0,Nov15'26,AAA (MOODY),,Nov 15 '16,2.31,Semi-Annual,94.80079,4.390000000000001,,,94.77300,
US-T GOVT  STRIPS Principal 912803BJ1,,Nov15'26,,,Nov 15 '96,2.31,,91.59800,3.8360000000000003,,,91.41700,
US-T GOVT 912810EY0,6.5,Nov15'26,AAA (MOODY),,Nov 15 '96,2.31,Semi-Annual,105.59400,3.939,,,105.54300,
US-T GOVT Note 91282CDG3,1.125,Oct31'26,,,Nov 01 '21,2.27,Semi-Annual,92.99219,4.4030000000000005,,,92.97100,
US-T GOVT Note 912828YQ7,1.625,Oct31'26,AAA (MOODY),,Oct 31 '19,2.27,Semi-Annual,94.07032,4.398000000000001,,,94.05400,
US-T GOVT Note 91282CJC6,4.625,Oct15'26,AAA (MOODY),,Oct 16 '23,2.23,Semi-Annual,100.43166,4.4190000000000005,,,100.43163,
US-T GOVT Note STRIPS Interest 912834J41,,Oct15'26,,,Oct 16 '23,2.23,,90.53501,4.5155,,,90.53500,
US-T GOVT Note TIPS 91282CDC2,0.125,Oct15'26,AAA (MOODY),,Oct 29 '21,2.23,Semi-Annual,95.41797,2.246,,,95.38600,
US-T GOVT Note 91282CCZ2,0.875,Sep30'26,AAA (MOODY),,Sep 30 '21,2.19,Semi-Annual,92.73633,4.396,,,92.72100,
US-T GOVT Note 912828YG9,1.625,Sep30'26,AAA (MOODY),,Sep 30 '19,2.19,Semi-Annual,94.23633,4.4190000000000005,,,94.22656,
US-T GOVT Note 91282CHY0,4.625,Sep15'26,AAA (MOODY),,Sep 15 '23,2.15,Semi-Annual,100.37110,4.439,,,100.36328,
US-T GOVT Note 91282CCW9,0.75,Aug31'26,AAA (MOODY),,Aug 31 '21,2.11,Semi-Annual,92.66016,4.444,,,92.64200,
US-T GOVT Note 912828YD6,1.375,Aug31'26,,,Sep 03 '19,2.11,Semi-Annual,93.90235,4.4430000000000005,,,93.87500,
US-T GOVT Note 91282CHU8,4.375,Aug15'26,AAA (MOODY),,Aug 15 '23,2.06,Semi-Annual,99.83203,4.4599,,,99.81641,
US-T GOVT Note STRIPS Principal 9128205K9,,Aug15'26,,,Aug 15 '16,2.06,,91.44400,4.3885000000000005,,,91.16800,
US-T GOVT Note 9128282A7,1.5,Aug15'26,AAA (MOODY),,Aug 15 '16,2.06,Semi-Annual,94.22657,4.464,,,94.19800,
US-T GOVT  STRIPS Principal 912803BH5,,Aug15'26,,,Aug 15 '96,2.06,,91.77500,4.2090000000000005,,,91.61400,
US-T GOVT 912810EX2,6.75,Aug15'26,AAA (MOODY),,Aug 15 '96,2.06,Semi-Annual,105.04688,4.167,,,104.70500,
US-T GOVT Note 91282CCP4,0.625,Jul31'26,AAA (MOODY),,Aug 02 '21,2.02,Semi-Annual,92.66407,4.465,,,92.65600,
US-T GOVT Note STRIPS Interest 912834UX4,,Jul31'26,,,Jul 31 '19,2.02,,91.21400,4.6065000000000005,,,91.21399,
US-T GOVT Note 912828Y95,1.875,Jul31'26,AAA (MOODY),,Jul 31 '19,2.02,Semi-Annual,95.04297,4.469,,,95.02734,
US-T GOVT Note 91282CHM6,4.5,Jul15'26,AAA (MOODY),,Jul 17 '23,1.98,Semi-Annual,100.03125,4.4830000000000005,,,100.03100,
US-T GOVT Note TIPS 912828S50,0.125,Jul15'26,AAA (MOODY),,Jul 29 '16,1.98,Semi-Annual,95.77344,2.326,,,95.73400,
US-T GOVT Note 91282CKY6,4.625,Jun30'26,,,Jul 01 '24,1.94,Semi-Annual,100.23829,4.493,,,100.23828,
US-T GOVT Note 91282CCJ8,0.875,Jun30'26,AAA (MOODY),,Jun 30 '21,1.94,Semi-Annual,93.39844,4.4750000000000005,,,93.38000,
US-T GOVT Note 9128287B0,1.875,Jun30'26,AAA (MOODY),,Jul 01 '19,1.94,Semi-Annual,95.21094,4.486000000000001,,,95.19100,
US-T GOVT Note 91282CHH7,4.125,Jun15'26,AAA (MOODY),,Jun 15 '23,1.89,Semi-Annual,99.31641,4.5036000000000005,,,99.30469,
US-T GOVT Note 91282CKS9,4.875,May31'26,AAA (MOODY),,May 31 '24,1.85,Semi-Annual,100.59834,4.532,,,100.59832,
US-T GOVT Note 91282CCF6,0.75,May31'26,AAA (MOODY),,Jun 01 '21,1.85,Semi-Annual,93.36329,4.525,,,93.35500,
US-T GOVT Note 9128286X3,2.125,May31'26,AAA (MOODY),,May 31 '19,1.85,Semi-Annual,95.78906,4.518800000000001,,,95.77734,
US-T GOVT Note 91282CHB0,3.625,May15'26,AAA (MOODY),,May 15 '23,1.81,Semi-Annual,98.42578,4.5381,,,98.41406,
US-T GOVT Note 912828R36,1.625,May15'26,AAA (MOODY),,May 16 '16,1.81,Semi-Annual,94.98438,4.5419,1.7900879383087158,0.03232850134372711,94.97266,
US-T GOVT Note STRIPS Principal 9128202R7,,May15'26,,,May 16 '16,1.81,,92.29600,4.479,,,92.10100,
US-T GOVT Note 91282CKK6,4.875,Apr30'26,AAA (MOODY),,Apr 30 '24,1.77,Semi-Annual,100.53906,4.5503,,,100.53125,
US GOVT Note 91282CKM2,5.5292,Apr30'26,AAA (MOODY),,Apr 30 '24,1.77,Quarterly,99.98592,5.4165,,,99.95623,
US-T GOVT Note 91282CBW0,0.75,Apr30'26,AAA (MOODY),,Apr 30 '21,1.77,Semi-Annual,93.61915,4.5440000000000005,,,93.59700,
US-T GOVT Note 9128286S4,2.375,Apr30'26,AAA (MOODY),,Apr 30 '19,1.77,Semi-Annual,96.33594,4.5523,,,96.32422,
US-T GOVT Note 91282CGV7,3.75,Apr15'26,AAA (MOODY),,Apr 17 '23,1.73,Semi-Annual,98.64844,4.57,,,98.64062,
US-T GOVT Note TIPS 91282CCA7,0.125,Apr15'26,AAA (MOODY),,Apr 30 '21,1.73,Semi-Annual,95.62500,2.736,,,95.57812,
US-T GOVT Note 91282CKH3,4.5,Mar31'26,AAA (MOODY),,Apr 01 '24,1.69,Semi-Annual,99.85938,4.5840000000000005,,,99.85156,
US-T GOVT Note 91282CBT7,0.75,Mar31'26,AAA (MOODY),,Mar 31 '21,1.69,Semi-Annual,93.85938,4.5760000000000005,,,93.83900,
US-T GOVT Note 9128286L9,2.25,Mar31'26,AAA (MOODY),,Apr 01 '19,1.69,Semi-Annual,96.26562,4.5751,,,96.25391,
US-T GOVT Note 91282CGR6,4.625,Mar15'26,AAA (MOODY),,Mar 15 '23,1.64,Semi-Annual,100.04688,4.591600000000001,,,100.03516,
US-T GOVT Note 91282CKB6,4.625,Feb28'26,AAA (MOODY),,Feb 29 '24,1.60,Semi-Annual,100.00000,4.622,,,99.99219,
US-T GOVT Note 91282CBQ3,0.5,Feb28'26,AAA (MOODY),,Mar 01 '21,1.60,Semi-Annual,93.71875,4.609,1.5989645719528198,0.02565792202949524,93.68900,
US-T GOVT Note 9128286F2,2.5,Feb28'26,AAA (MOODY),,Feb 28 '19,1.60,Semi-Annual,96.76562,4.6146,,,96.75391,
US-T GOVT Note 91282CGL9,4.0,Feb15'26,AAA (MOODY),,Feb 15 '23,1.57,Semi-Annual,99.05665,4.633,,,99.05663,
US-T GOVT Note 912828P46,1.625,Feb15'26,AAA (MOODY),,Feb 16 '16,1.57,Semi-Annual,95.53125,4.6257,,,95.51953,
US-T GOVT Note STRIPS Principal 9128202A4,,Feb15'26,,,Feb 16 '16,1.57,,93.21600,4.553,,,93.00300,
US-T GOVT  STRIPS Principal 912803BG7,,Feb15'26,,,Feb 15 '96,1.57,,93.50800,4.348,,,93.36500,
US-T GOVT 912810EW4,6.0,Feb15'26,AAA (MOODY),,Feb 15 '96,1.57,Semi-Annual,102.60100,4.257000000000001,,,102.19140,
US-T GOVT Note 91282CJV4,4.25,Jan31'26,,,Jan 31 '24,1.53,Semi-Annual,99.41797,4.651,,,99.41406,
US GOVT Note 91282CJU6,5.504,Jan31'26,AAA (MOODY),,Jan 31 '24,1.53,Quarterly,100.13479,5.4115,,,100.11269,
US-T GOVT Note 91282CBH3,0.375,Jan31'26,AAA (MOODY),,Feb 01 '21,1.53,Semi-Annual,93.80469,4.646,,,93.77900,
US-T GOVT Note 9128286A3,2.625,Jan31'26,AAA (MOODY),,Jan 31 '19,1.53,Semi-Annual,97.05469,4.6551,,,97.04297,
US-T GOVT Note STRIPS Interest 912834UG1,,Jan31'26,,,Jan 31 '19,1.53,,92.87900,4.922000000000001,,,92.87800,
US-T GOVT Note 91282CGE5,3.875,Jan15'26,AAA (MOODY),,Jan 17 '23,1.48,Semi-Annual,98.90040,4.655,,,98.90038,
US-T GOVT Note TIPS 912828N71,0.625,Jan15'26,AAA (MOODY),,Jan 29 '16,1.48,Semi-Annual,96.75391,2.8880000000000003,,,96.72200,
US-T GOVT  TIPS 912810FS2,2.0,Jan15'26,AAA (MOODY),,Jan 31 '06,1.48,Semi-Annual,98.72600,2.8880000000000003,,,98.67578,
US-T GOVT Note 91282CJS1,4.25,Dec31'25,AAA (MOODY),,Jan 02 '24,1.44,Semi-Annual,99.41016,4.678,,,99.40625,
US-T GOVT Note 91282CBC4,0.375,Dec31'25,AAA (MOODY),,Dec 31 '20,1.44,Semi-Annual,94.08204,4.688000000000001,,,94.05800,
US-T GOVT Note 9128285T3,2.625,Dec31'25,AAA (MOODY),,Dec 31 '18,1.44,Semi-Annual,97.18360,4.676,,,97.17969,
US-T GOVT Note 91282CGA3,4.0,Dec15'25,AAA (MOODY),,Dec 15 '22,1.40,Semi-Annual,99.06600,4.697,,,99.06250,
US-T GOVT Note 91282CJL6,4.875,Nov30'25,AAA (MOODY),,Nov 30 '23,1.36,Semi-Annual,100.19517,4.720000000000001,,,100.19514,
US-T GOVT Note 91282CAZ4,0.375,Nov30'25,AAA (MOODY),,Nov 30 '20,1.36,Semi-Annual,94.37110,4.720000000000001,,,94.34900,
US-T GOVT Note 9128285N6,2.875,Nov30'25,AAA (MOODY),,Nov 30 '18,1.36,Semi-Annual,97.60400,4.722,,,97.60156,
US-T GOVT Note 91282CFW6,4.5,Nov15'25,,,Nov 15 '22,1.31,Semi-Annual,99.70704,4.728000000000001,,,99.70312,
US-T GOVT Note 912828M56,2.25,Nov15'25,AAA (MOODY),,Nov 16 '15,1.31,Semi-Annual,96.87697,4.74,,,96.87695,
US-T GOVT Note STRIPS Principal 912820Y43,,Nov15'25,,,Nov 16 '15,1.31,,94.13200,4.671,,,93.96500,
US-T GOVT Note 91282CJE2,5.0,Oct31'25,AAA (MOODY),,Oct 31 '23,1.27,Semi-Annual,100.28907,4.757000000000001,,,100.27300,
US GOVT Note 91282CJD4,5.429,Oct31'25,AAA (MOODY),,Oct 31 '23,1.27,Quarterly,100.06051,5.3790000000000004,,,100.03575,
US-T GOVT Note 91282CAT8,0.25,Oct31'25,AAA (MOODY),,Nov 02 '20,1.27,Semi-Annual,94.52930,4.743,,,94.49600,
US-T GOVT Note 9128285J5,3.0,Oct31'25,AAA (MOODY),,Oct 31 '18,1.27,Semi-Annual,97.87600,4.7410000000000005,,,97.87500,
